0,40,0.195,781
53,51,0.249,996
76,39,0.190,761
101,39,0.190,761
125,38,0.186,742
149,50,0.244,976
173,39,0.190,761
197,37,0.181,722
221,39,0.190,761
245,37,0.181,722
269,47,0.229,917
294,47,0.229,917
317,37,0.181,722
342,40,0.195,781
365,36,0.176,703
390,36,0.176,703
413,37,0.181,722
438,38,0.186,742
461,38,0.186,742
486,37,0.181,722
510,38,0.186,742
534,37,0.181,722
558,44,0.215,859
581,37,0.181,722
606,38,0.186,742
630,45,0.220,878
654,45,0.220,878
678,45,0.220,878
702,45,0.220,878
731,45,0.220,878
753,39,0.190,761
777,45,0.220,878
799,44,0.215,859
823,37,0.181,722
845,43,0.210,839
869,44,0.215,859
892,44,0.215,859
915,37,0.181,722
939,44,0.215,859
961,36,0.176,703
985,37,0.181,722
1007,36,0.176,703
1031,36,0.176,703
1054,36,0.176,703
1077,37,0.181,722
1100,37,0.181,722
1123,37,0.181,722
1147,36,0.176,703
1169,38,0.186,742
1193,37,0.181,722
1216,45,0.220,878
1239,36,0.176,703
1262,44,0.215,859
1286,44,0.215,859
1308,37,0.181,722
1332,41,0.200,800
1354,40,0.195,781
1383,39,0.190,761
1407,39,0.190,761
1429,39,0.190,761
1453,38,0.186,742
1476,37,0.181,722
1499,38,0.186,742
1522,37,0.181,722
1546,37,0.181,722
1568,36,0.176,703
1592,37,0.181,722
1614,37,0.181,722
1638,36,0.176,703
1661,36,0.176,703
1684,37,0.181,722
1708,37,0.181,722
1730,37,0.181,722
1754,37,0.181,722
1776,37,0.181,722
1800,36,0.176,703
1822,36,0.176,703
1846,37,0.181,722
1869,36,0.176,703
1892,36,0.176,703
1916,36,0.176,703
1938,36,0.176,703
1962,36,0.176,703
1985,36,0.176,703
2013,36,0.176,703
2035,36,0.176,703
2059,36,0.176,703
2081,36,0.176,703
2105,36,0.176,703
2128,37,0.181,722
2151,37,0.181,722
2175,37,0.181,722
2197,37,0.181,722
2221,36,0.176,703
2243,36,0.176,703
2267,37,0.181,722
2289,37,0.181,722
2313,38,0.186,742
2335,37,0.181,722
2359,36,0.176,703
2382,39,0.190,761
2406,37,0.181,722
2440,37,0.181,722
2463,38,0.186,742
2486,38,0.186,742
2509,39,0.190,761
2533,38,0.186,742
2556,39,0.190,761
2579,38,0.186,742
2603,38,0.186,742
2625,38,0.186,742
2654,38,0.186,742
2677,38,0.186,742
2701,39,0.190,761
2723,38,0.186,742
2747,38,0.186,742
2771,37,0.181,722
2793,37,0.181,722
2817,36,0.176,703
2840,37,0.181,722
2863,37,0.181,722
2886,38,0.186,742
2910,37,0.181,722
2932,37,0.181,722
2956,37,0.181,722
2979,36,0.176,703
3002,38,0.186,742
3026,37,0.181,722
3049,38,0.186,742
3072,37,0.181,722
3095,39,0.190,761
3119,39,0.190,761
3141,41,0.200,800
3165,41,0.200,800
3188,39,0.190,761
3211,38,0.186,742
3234,37,0.181,722
3257,38,0.186,742
3285,39,0.190,761
3308,39,0.190,761
3332,37,0.181,722
3354,42,0.205,820
3378,43,0.210,839
3401,46,0.225,898
3424,43,0.210,839
3447,44,0.215,859
3471,44,0.215,859
3494,44,0.215,859
3517,44,0.215,859
3540,43,0.210,839
3563,43,0.210,839
3587,41,0.200,800
3609,41,0.200,800
3633,39,0.190,761
3655,42,0.205,820
3679,41,0.200,800
3702,42,0.205,820
3725,39,0.190,761
3749,39,0.190,761
3771,39,0.190,761
3795,38,0.186,742
3818,39,0.190,761
3841,40,0.195,781
3864,42,0.205,820
3888,43,0.210,839
3916,42,0.205,820
3939,41,0.200,800
3963,40,0.195,781
3985,41,0.200,800
4009,43,0.210,839
4032,43,0.210,839
4055,40,0.195,781
4078,42,0.205,820
4101,40,0.195,781
4124,42,0.205,820
4148,41,0.200,800
4170,41,0.200,800
4194,40,0.195,781
4216,39,0.190,761
4240,39,0.190,761
4264,40,0.195,781
4286,40,0.195,781
4310,41,0.200,800
4332,43,0.210,839
4356,42,0.205,820
4379,37,0.181,722
4402,42,0.205,820
4425,40,0.195,781
4448,45,0.220,878
4471,42,0.205,820
4495,42,0.205,820
